ID,NOMBRE ESTADO,SIGLADO,ID DTTO,CABECERA,ORIGEN PARTIDARIO,GRUPO
,,,,DISTRITAL,,PARLAMENTARIO
1,AGUASCALIENTES,PT,2,AGUASCALIENTES,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
2,AGUASCALIENTES,PVEM,3,AGUASCALIENTES,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
3,BAJA CALIFORNIA,MORENA,1,MEXICALI,MORENA,MORENA
4,BAJA CALIFORNIA,PT,3,ENSENADA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
5,BAJA CALIFORNIA,MORENA,7,MEXICALI,MORENA,MORENA
6,BAJA CALIFORNIA,PVEM,8,TIJUANA,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
7,BAJA CALIFORNIA,PT,1,LA PAZ,PARTIDO DEL,PARTIDO DEL TRABAJO
,SUR,,,,TRABAJO,
8,BAJA CALIFORNIA,PT,2,SAN JOSÉ DEL,PARTIDO DEL,PARTIDO DEL TRABAJO
,SUR,,,CABO,TRABAJO,
9,CHIAPAS,MORENA,1,PALENQUE,MORENA,MORENA
10,CHIAPAS,MORENA,2,BOCHIL,MORENA,MORENA
11,CHIAPAS,PT,5,SAN CRISTÓBAL DE,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,LAS CASAS,TRABAJO,
,,,,,,
12,CHIAPAS,MORENA,6,TUXTLA GUTIÉRREZ,MORENA,MORENA
13,CHIAPAS,MORENA,7,TONALÁ,MORENA,MORENA
14,CHIAPAS,MORENA,8,COMITÁN DE,MORENA,MORENA
,,,,DOMÍNGUEZ,,
15,CHIAPAS,MORENA,9,TUXTLA GUTIÉRREZ,MORENA,MORENA
16,CHIAPAS,PVEM,10,VILLAFLORES,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
17,CHIAPAS,PVEM,11,LAS MARGARITAS,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
18,CHIAPAS,PVEM,13,HUEHUETÁN,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
19,CHIHUAHUA,MORENA,2,JUÁREZ,MORENA,MORENA
20,CHIHUAHUA,PT,3,JUÁREZ,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
21,CHIHUAHUA,MORENA,4,JUÁREZ,MORENA,MORENA
22,CHIHUAHUA,PVEM,5,DELICIAS,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
23,CHIHUAHUA,PT,7,CUAUHTÉMOC,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
24,CHIHUAHUA,MORENA,8,CHIHUAHUA,MORENA,MORENA
25,CHIHUAHUA,PVEM,9,HIDALGO DEL,PARTIDO VERDE,PARTIDO VERDE
,,,,PARRAL,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
26,CIUDAD DE MÉXICO,PVEM,2,GUSTAVO A.,PARTIDO VERDE,PARTIDO VERDE
,,,,MADERO,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
27,CIUDAD DE MÉXICO,MORENA,3,AZCAPOTZALCO,MORENA,MORENA
28,CIUDAD DE MÉXICO,PT,4,IZTAPALAPA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
29,CIUDAD DE MÉXICO,MORENA,5,TLALPAN,MORENA,MORENA
30,CIUDAD DE MÉXICO,PT,8,CUAUHTÉMOC,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
31,CIUDAD DE MÉXICO,MORENA,10,MIGUEL HIDALGO,MORENA,MORENA
32,CIUDAD DE MÉXICO,MORENA,13,IZTACALCO,MORENA,MORENA
33,CIUDAD DE MÉXICO,PVEM,15,BENITO JUÁREZ,PARTIDO VERDE,PARTIDO VERDE
,,,,,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
34,CIUDAD DE MÉXICO,MORENA,16,ÁLVARO OBREGÓN,MORENA,MORENA
35,CIUDAD DE MÉXICO,PVEM,17,CUAJIMALPA DE,PARTIDO VERDE,PARTIDO VERDE
,,,,MORELOS,ECOLOGISTA DE,ECOLOGISTA DE MÉXICO
,,,,,MÉXICO,
36,CIUDAD DE MÉXICO,PT,20,IZTAPALAPA,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
37,CIUDAD DE MÉXICO,MORENA,23,COYOACÁN,MORENA,MORENA
38,COAHUILA,PT,1,PIEDRAS NEGRAS,PARTIDO DEL,PARTIDO DEL TRABAJO
,,,,,TRABAJO,
39,COAHUILA,MORENA,2,SAN PEDRO,MORENA,MORENA
