Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
1,AGUASCALIENTES ,2,PT ,PT 
2,AGUASCALIENTES ,3,PVEM ,PVEM 
3,BAJA CALIFORNIA ,1,MORENA ,MORENA 
4,BAJA CALIFORNIA ,3,PT ,PT 
5,BAJA CALIFORNIA ,7,MORENA ,MORENA 
6,BAJA CALIFORNIA ,8,PVEM ,PVEM 
7,BAJA CALIFORNIA SUR ,1,PT ,PT 
8,BAJA CALIFORNIA SUR ,2,PT ,PT 
9,CHIAPAS ,1,MORENA ,MORENA 
10,CHIAPAS ,2,MORENA ,MORENA 
11,CHIAPAS ,5,PT ,PT 
12,CHIAPAS ,6,MORENA ,MORENA 
13,CHIAPAS ,7,MORENA ,MORENA 
14,CHIAPAS ,8,MORENA ,MORENA 
15,CHIAPAS ,9,MORENA ,MORENA 
16,CHIAPAS ,10,PVEM ,PVEM 
17,CHIAPAS ,11,PVEM ,PVEM 
18,CHIAPAS ,13,PVEM ,PVEM 
19,CHIHUAHUA ,2,MORENA ,MORENA 
,,,,
,,Coalición JHH ,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
20,CHIHUAHUA ,3,PT ,PT 
21,CHIHUAHUA ,4,MORENA ,MORENA 
22,CHIHUAHUA ,5,PVEM ,PVEM 
23,CHIHUAHUA ,7,PT ,PT 
24,CHIHUAHUA ,8,MORENA ,MORENA 
25,CHIHUAHUA ,9,PVEM ,PVEM 
26,CIUDAD DE MEXICO ,2,PVEM ,PVEM 
27,CIUDAD DE MEXICO ,3,MORENA ,MORENA 
28,CIUDAD DE MEXICO ,4,PT ,PT 
29,CIUDAD DE MEXICO ,5,MORENA ,MORENA 
30,CIUDAD DE MEXICO ,8,PT ,PT 
31,CIUDAD DE MEXICO ,10,MORENA ,MORENA 
32,CIUDAD DE MEXICO ,13,MORENA ,MORENA 
33,CIUDAD DE MEXICO ,15,PVEM ,PVEM 
34,CIUDAD DE MEXICO ,16,MORENA ,MORENA 
35,CIUDAD DE MEXICO ,17,PVEM ,PVEM 
36,CIUDAD DE MEXICO ,20,PT ,PT 
37,CIUDAD DE MEXICO ,23,MORENA ,MORENA 
38,COAHUILA ,1,PT ,PT 
39,COAHUILA ,2,MORENA ,MORENA 
40,COAHUILA ,3,MORENA ,MORENA 
41,COAHUILA ,4,MORENA ,MORENA 
42,COAHUILA ,5,MORENA ,MORENA 
43,COAHUILA ,6,PT ,PT 
44,DURANGO ,1,MORENA ,MORENA 
45,DURANGO ,2,MORENA ,MORENA 
46,DURANGO ,3,MORENA ,MORENA 
47,DURANGO ,4,PT ,PT 
48,GUANAJUATO ,13,MORENA ,MORENA 
49,GUERRERO ,1,MORENA ,MORENA 
50,GUERRERO ,3,PVEM ,PVEM 
51,GUERRERO ,5,PT ,PT 
52,GUERRERO ,6,MORENA ,MORENA 
53,GUERRERO ,7,MORENA ,MORENA 
54,GUERRERO ,8,PVEM ,PVEM 
55,HIDALGO ,1,MORENA ,MORENA 
56,HIDALGO ,2,PVEM ,PVEM 
57,HIDALGO ,4,MORENA ,MORENA 
58,HIDALGO ,5,PVEM ,PVEM 
59,HIDALGO ,6,MORENA ,MORENA 
60,JALISCO ,1,MORENA ,MORENA 
61,JALISCO ,4,PVEM ,PVEM 
62,JALISCO ,5,MORENA ,MORENA 
