Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
1,AGUASCALIENTES ,1,PAN ,PAN 
2,BAJA CALIFORNIA ,1,PAN ,PAN 
3,BAJA CALIFORNIA ,3,PRI ,PRI 
4,BAJA CALIFORNIA ,4,PRI ,PRD 
5,BAJA CALIFORNIA ,5,PAN ,PRD 
6,BAJA CALIFORNIA ,6,PRD ,PRD 
7,BAJA CALIFORNIA ,7,PRI ,PRI 
8,BAJA CALIFORNIA ,8,PRD ,PRD 
9,BAJA CALIFORNIA SUR ,1,PAN ,PAN 
10,BAJA CALIFORNIA SUR ,2,PRD ,PAN 
11,CAMPECHE ,1,PRI ,PRI 
12,CAMPECHE ,2,PAN ,PAN 
13,CHIAPAS ,1,PRD ,PRD 
14,CHIAPAS ,2,PRI ,PRI 
15,CHIAPAS ,3,PRD ,PRD 
16,CHIAPAS ,4,PAN ,PAN 
17,CHIAPAS ,5,PRI ,PRI 
18,CHIAPAS ,6,PRD ,PRD 
19,CHIAPAS ,8,PRI ,PRI 
20,CHIAPAS ,9,PAN ,PAN 
21,CHIAPAS ,10,PRI ,PRI 
22,CHIAPAS ,11,PRD ,PRD 
23,CHIAPAS ,12,PRI ,PRI 
24,CHIAPAS ,13,PRD ,PRD 
25,CHIHUAHUA ,1,PRD ,PRD 
26,CHIHUAHUA ,2,PRD ,PRI 
27,CHIHUAHUA ,3,PRD ,PRD 
28,CHIHUAHUA ,4,PAN ,PAN 
29,CHIHUAHUA ,5,PAN ,PAN 
30,CHIHUAHUA ,7,PAN ,PAN 
31,CHIHUAHUA ,9,PAN ,PAN 
32,CIUDAD DE MEXICO ,1,PRD ,PRD 
33,CIUDAD DE MEXICO ,2,PRI ,PRI 
34,CIUDAD DE MEXICO ,3,PAN ,PAN 
35,CIUDAD DE MEXICO ,4,PRD ,PRD 
36,CIUDAD DE MEXICO ,5,PRI ,PRI 
37,CIUDAD DE MEXICO ,6,PAN ,PAN 
38,CIUDAD DE MEXICO ,7,PRD ,PRD 
,,,,
,Coalición VXM ,,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
39,CIUDAD DE MEXICO ,8,PRI ,PRI 
40,CIUDAD DE MEXICO ,9,PRD ,PRI 
41,CIUDAD DE MEXICO ,10,PAN ,PAN 
42,CIUDAD DE MEXICO ,11,PRD ,PRD 
43,CIUDAD DE MEXICO ,12,PRD ,PRD 
44,CIUDAD DE MEXICO ,13,PRD ,PRD 
45,CIUDAD DE MEXICO ,14,PRD ,PRD 
46,CIUDAD DE MEXICO ,15,PAN ,PAN 
47,CIUDAD DE MEXICO ,16,PRI ,PRI 
48,CIUDAD DE MEXICO ,17,PAN ,PAN 
49,CIUDAD DE MEXICO ,18,PRD ,PRD 
50,CIUDAD DE MEXICO ,19,PRI ,PRI 
51,CIUDAD DE MEXICO ,20,PRD ,PRD 
52,CIUDAD DE MEXICO ,21,PRI ,PRI 
53,CIUDAD DE MEXICO ,22,PRI ,PRI 
54,CIUDAD DE MEXICO ,23,PAN ,PAN 
55,CIUDAD DE MEXICO ,24,PAN ,PAN 
56,COLIMA ,1,PAN ,PAN 
57,COLIMA ,2,PRI ,PRI 
58,DURANGO ,1,PAN ,PAN 
59,DURANGO ,2,PRI ,PRI 
60,DURANGO ,3,PRD ,PRI 
61,DURANGO ,4,PAN ,PAN 
62,GUANAJUATO ,8,PAN ,PAN 
63,GUERRERO ,1,PRI ,PRI 
64,GUERRERO ,3,PRD ,PRD 
65,GUERRERO ,4,PRD ,PRD 
66,GUERRERO ,5,PRD ,PRD 
67,GUERRERO ,6,PRD ,PRD 
68,GUERRERO ,7,PRI ,PRI 
69,GUERRERO ,8,PRI ,PRI 
70,GUERRERO ,9,PRI ,PRI 
71,HIDALGO ,1,PRI ,PRI 
72,HIDALGO ,2,PAN ,PAN 
73,HIDALGO ,3,PRD ,PRD 
74,HIDALGO ,4,PAN ,PAN 
75,HIDALGO ,5,PRD ,PRD 
76,HIDALGO ,6,PRI ,PRI 
77,HIDALGO ,7,PRI ,PRI 
78,JALISCO ,1,PAN ,PAN 
79,JALISCO ,2,PAN ,PAN 
80,JALISCO ,3,PAN ,PAN 
81,JALISCO ,4,PRI ,PRI 
82,JALISCO ,5,PRD ,PRD 
83,JALISCO ,6,PAN ,PAN 
84,JALISCO ,7,PRI ,PRI 
85,JALISCO ,8,PAN ,PAN 
86,JALISCO ,9,PRD ,PRD 
87,JALISCO ,10,PAN ,PAN 
88,JALISCO ,11,PRI ,PRI 
89,JALISCO ,12,PRD ,PRD 
,,,,
,Coalición VXM ,,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
90,JALISCO ,13,PAN ,PAN 
91,JALISCO ,14,PRD ,PRD 
92,JALISCO ,15,PAN ,PAN 
93,JALISCO ,16,PRD ,PRD 
94,JALISCO ,17,PRI ,PRI 
95,JALISCO ,18,PRI ,PRI 
96,JALISCO ,19,PRD ,PRI 
97,JALISCO ,20,PRI ,PRI 
98,MEXICO ,1,PRI ,PRI 
99,MEXICO ,2,PRD ,PRD 
100,MEXICO ,3,PRI ,PRI 
101,MEXICO ,6,PRD ,PRD 
102,MEXICO ,7,PAN ,PAN 
103,MEXICO ,9,PRI ,PRI 
104,MEXICO ,14,PAN ,PAN 
105,MEXICO ,15,PAN ,PAN 
106,MEXICO ,19,PAN ,PAN 
107,MEXICO ,20,PRD ,PRD 
108,MEXICO ,24,PAN ,PAN 
109,MEXICO ,26,PRI ,PRI 
110,MEXICO ,27,PRI ,PRI 
111,MEXICO ,29,PRD ,PRI 
112,MEXICO ,31,PRD ,PRD 
113,MEXICO ,32,PRD ,PRD 
114,MEXICO ,33,PRI ,PRI 
115,MEXICO ,34,PAN ,PAN 
116,MEXICO ,35,PRI ,PRI 
117,MEXICO ,36,PRI ,PRI 
118,MEXICO ,39,PRI ,PRI 
119,MEXICO ,40,PAN ,PAN 
120,MEXICO ,41,PRI ,PRI 
121,MICHOACAN ,1,PRI ,PRI 
122,MICHOACAN ,2,PRD ,PRD 
123,MICHOACAN ,3,PRD ,PRD 
124,MICHOACAN ,4,PAN ,PAN 
125,MICHOACAN ,5,PAN ,PAN 
126,MICHOACAN ,6,PAN ,PAN 
127,MICHOACAN ,7,PRI ,PRI 
128,MICHOACAN ,8,PRI ,PRI 
129,MICHOACAN ,9,PRD ,PRD 
130,MICHOACAN ,10,PAN ,PAN 
131,MICHOACAN ,11,PRD ,PAN 
132,MICHOACAN ,12,PRI ,PRI 
133,NAYARIT ,1,PRI ,PRI 
134,NAYARIT ,2,PRD ,PAN 
135,NAYARIT ,3,PAN ,PAN 
136,OAXACA ,1,PRD ,PRI 
137,OAXACA ,2,PRD ,PRD 
138,OAXACA ,3,PRI ,PRI 
139,OAXACA ,4,PAN ,PRI 
140,OAXACA ,5,PRI ,PRI 
,,,,
,,Coalición VXM ,,
Número ,Entidad ,Distrito Convenio Asignación por INE/CG193/2021 ,,
141,OAXACA ,6,PRD ,PRD 
142,OAXACA ,7,PRI ,PRI 
143,OAXACA ,8,PRI ,PRI 
144,OAXACA ,9,PRI ,PRI 
145,OAXACA ,10,PAN ,PRI 
146,PUEBLA ,1,PRD ,PRD 
147,PUEBLA ,2,PRI ,PRI 
148,PUEBLA ,3,PRI ,PRI 
149,PUEBLA ,4,PRD ,PRD 
150,PUEBLA ,5,PRD ,PRD 
151,PUEBLA ,6,PRI ,PRI 
152,PUEBLA ,7,PAN ,PAN 
153,PUEBLA ,8,PRI ,PRI 
154,PUEBLA ,9,PAN ,PAN 
155,PUEBLA ,10,PAN ,PAN 
156,PUEBLA ,11,PAN ,PAN 
157,PUEBLA ,12,PAN ,PAN 
158,PUEBLA ,13,PRD ,PRD 
159,PUEBLA ,14,PRI ,PRI 
160,PUEBLA ,15,PRI ,PRI 
161,QUINTANA ROO ,1,PAN ,PAN 
162,QUINTANA ROO ,2,PRI ,PRI 
163,QUINTANA ROO ,3,PRD ,PRD 
